ID,State,Week,Original FICO Score,Latest FICO Score,"Dlq 
Days",Purchase Price,Down Payment,"Original
Principal
Balance","Current
Principal 
Balance",Total Amount Due,"Total
NSF
Due",Total Late Charges Due,Payoff Amount,"Current 
Payment 
Amount","Current 
Rate","Current 
Term",Term Paid,"Total Maintenance
Fee
Balance Due","Payment
Type","Payment
Due Day",Times Late,Times DLQ,Times Defaulted
1,NY,21,669,690,-15,"14,900.00","3,124.00","11,726.11","3,480.19",-,-,-,"3,500.14",174.39,12.9,120,70,-,COUPON,15,13,0,0
2,MD,46,592,512,554,"9,500.00",950,"8,550.00","1,705.58","2,009.72",-,131.64,"1,991.64",169.33,15.9,84,64,-241,COUPON,25,8,8,8
3,NC,30,781,787,-25,"24,550.00","18,500.00","6,050.00","3,295.55",-,-,-,"3,300.99",128.25,9.9,60,31,-,AUTO DEBIT,25,0,0,0
4,CA,46,680,667,-15,"17,900.00","1,790.00","16,110.00","13,985.06",-,-,-,"14,077.67",258.92,14.9,120,30,-,AUTO DEBIT,15,0,0,0
5,TX,42,757,747,-5,"16,100.00","4,830.00","11,270.00","10,185.78",-,-,-,"10,273.32",161.04,11.9,120,20,-,AUTO DEBIT,5,0,0,0
6,SC,7,703,685,-15,"9,810.00",981,"8,829.00","5,856.24",-,-,-,"5,895.02",157.93,14.9,96,46,-,AUTO DEBIT,15,1,0,0
7,WV,43,600,651,-20,"21,400.00","2,249.00","19,151.31","17,207.62",-,-,-,"17,285.96",307.81,14.9,120,24,-,AUTO DEBIT,20,0,0,0
8,SC,16,517,528,128,"10,800.00","1,080.00","9,720.00","7,801.00","1,074.94",120,135.59,"8,499.62",173.87,14.9,96,30,579.79,COUPON,25,14,12,1
9,VA,44,611,668,720,"20,400.00","4,081.00","16,318.67","14,445.61","7,829.68",-,511.84,"18,580.21",304.91,13.9,84,14,"2,554.84",COUPON,10,14,13,10
10,NC,4,593,609,-25,"5,200.00",520,"4,680.00","3,370.13",60,60,-,"3,437.38",106.24,12.9,60,19,779.65,COUPON,25,7,5,0
